present,p5,ccode,scode,country,polity,persist,bmonth,bday,byear,emonth,eday,eyear,democ,autoc,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp
,0,700,AFG,Afghanistan,-6,,1,1,1800,6,30,1935,1,7,3,1,1,1,3,3,1,1,6
,0,700,AFG,Afghanistan,-8,10,7,1,1935,6,30,1945,0,8,3,1,1,1,3,2,1,1,3
,0,700,AFG,Afghanistan,-10,8,7,1,1945,9,7,1953,0,10,3,1,1,1,4,1,1,1,1
,0,700,AFG,Afghanistan,-10,11,9,8,1953,9,9,1964,0,10,3,1,2,1,4,1,2,1,1
,0,700,AFG,Afghanistan,-7,9,9,10,1964,7,17,1973,0,7,3,1,2,3,4,2,2,3,2
,0,700,AFG,Afghanistan,-7,3,7,18,1973,12,31,1976,0,7,1,0,0,1,4,1,4,1,1
,0,700,AFG,Afghanistan,-7,1,1,1,1977,4,16,1978,0,7,2,0,0,1,4,1,5,1,1
,0,700,AFG,Afghanistan,-77,2,4,17,1978,12,27,1979,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,0,700,AFG,Afghanistan,-66,9,12,28,1979,2,3,1989,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,0,700,AFG,Afghanistan,-8,3,2,4,1989,4,16,1992,0,8,2,1,4,2,4,1,3,2,1
,0,700,AFG,Afghanistan,-77,4,4,17,1992,9,26,1996,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,0,700,AFG,Afghanistan,-7,5,9,27,1996,10,7,2001,0,7,1,0,0,1,4,1,4,1,1
,0,700,AFG,Afghanistan,-77,0,10,8,2001,12,22,2001,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,0,700,AFG,Afghanistan,-66,13,12,23,2001,12,28,2014,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
1,0,700,AFG,Afghanistan,-1,4,12,29,2014,99,99,9999,1,2,2,1,4,4,1,0,3,4,4
,0,339,ALB,Albania,-2,1,9,4,1914,3,9,1915,2,4,2,1,4,5,3,2,3,5,3
,0,339,ALB,Albania,-77,10,3,10,1915,1,21,1925,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,0,339,ALB,Albania,-9,14,1,22,1925,4,8,1939,0,9,2,1,4,1,4,1,3,1,1
,0,339,ALB,Albania,-77,7,4,9,1939,11,10,1945,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,1,339,ALB,Albania,-88,0,11,11,1945,1,11,1946,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,339,ALB,Albania,-9,45,1,12,1946,12,11,1990,0,9,2,1,4,1,4,1,3,1,1
,1,339,ALB,Albania,1,0,12,12,1990,6,11,1991,3,2,2,2,4,3,3,3,7,3,6
,1,339,ALB,Albania,-88,1,6,12,1991,4,5,1992,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,1,339,ALB,Albania,5,4,4,6,1992,5,26,1996,6,1,3,3,4,5,3,3,8,5,6
,1,339,ALB,Albania,0,1,5,27,1996,7,23,1997,3,3,2,1,4,5,3,3,3,5,6
,1,339,ALB,Albania,5,5,7,24,1997,7,24,2002,6,1,2,2,4,5,3,4,7,5,8
,1,339,ALB,Albania,7,3,7,25,2002,9,1,2005,7,0,2,2,4,6,2,4,7,6,9
1,1,339,ALB,Albania,9,13,9,2,2005,99,99,9999,9,0,3,3,4,7,2,4,8,7,9
,1,615,ALG,Algeria,-8,3,7,5,1962,6,19,1965,0,8,2,1,4,2,4,1,3,2,1
